Location,London borough,Post town,Postcodedistrict,Dial code,OSgridref
Stroud Green,Haringey,LONDON,N4,20,TQ311881
Sudbury,"Brent, Ealing, Harrow","HARROW, WEMBLEY",HA0,20,TQ165852
Sundridge,Bromley,BROMLEY,BR1,20,TQ406702
Surbiton,Kingston upon Thames,SURBITON,KT5,20,TQ180673
Surrey Quays,Southwark,LONDON,SE16,20,TQ356789
Sutton,Sutton,SUTTON,SM1,20,TQ255645
Swiss Cottage,Camden,LONDON,NW3,20,TQ266842
Sydenham,"Lewisham, Bromley",LONDON,SE26,20,TQ352714
Lower Sydenham,"Lewisham, Bromley",LONDON,SE26,20,TQ352714
Upper Sydenham,"Lewisham, Bromley",LONDON,SE26,20,TQ352714
Sydenham Hill,"Lewisham, Southwark",LONDON,SE21,20,TQ352714
Teddington,Richmond upon Thames,TEDDINGTON,TW11,20,TQ159708
Temple,"City, Westminster",LONDON,EC4,20,TQ311809
Temple Fortune,Barnet,BARNET,NW11,20,TQ245955
Thamesmead,"Bexley, Greenwich","LONDON, ERITH",SE28,20,TQ475805
Thornton Heath,Croydon,THORNTON HEATH,CR7,20,TQ315685
Tokyngton,Brent,WEMBLEY,HA9,20,TQ195845
Tolworth,Kingston upon Thames,SURBITON,KT5,20,TQ197659
Tooting,Wandsworth,LONDON,SW17,20,TQ275715
Tooting Bec,Wandsworth,LONDON,SW17,20,TQ275715
Tottenham,Haringey,LONDON,N15,20,TQ335905
Tottenham Green,Haringey,LONDON,N15,20,TQ337892
Tottenham Hale,Haringey,LONDON,N15,20,TQ345895
Totteridge,Barnet,LONDON,N20,20,TQ245945
Tower Hill,Tower Hamlets,LONDON,EC3,20,TQ333806
Tufnell Park,"Islington, Camden",LONDON,N7,20,TQ295855
Tulse Hill,Lambeth,LONDON,SW2,20,TQ315735
Turnpike Lane,Haringey,LONDON,N8,20,TQ305905
Twickenham,Richmond upon Thames,TWICKENHAM,TW1,20,TQ155735
Upminster,Havering,UPMINSTER,RM14,1708,TQ560865
Upminster Bridge,Havering,HORNCHURCH,RM12,1708,TQ552867
Upper Clapton,Hackney,LONDON,E5,20,TQ345875
Upper Holloway,Islington,LONDON,N19,20,TQ297867
Upper Norwood,Croydon,LONDON,SE19,20,TQ329707
Upper Ruxley,"Bexley, Bromley","SIDCUP, ORPINGTON",DA14,"020, 01689",TQ4970
Upper Walthamstow,Waltham Forest,LONDON,E17,20,TQ385895
Upton,Bexley,BEXLEYHEATH,DA6,20,TQ485755
Upton Park,Newham,LONDON,E6,20,TQ405837
Uxbridge,Hillingdon,UXBRIDGE,UB8,1895,TQ055835
Vauxhall,Lambeth,LONDON,SW8,20,TQ305785
Waddon,Croydon,CROYDON,CR0,20,TQ315645
Wallington,Sutton,WALLINGTON,SM6,20,TQ294645
Walthamstow,Waltham Forest,LONDON,E17,20,TQ375865
Walthamstow Village,Waltham Forest,LONDON,E17,20,TQ385895
Walworth,Southwark,LONDON,SE17,20,TQ325785
Wandsworth,Wandsworth,LONDON,SW18,20,TQ255755
Wanstead,Redbridge,LONDON,E11,20,TQ405885
Wapping,Tower Hamlets,LONDON,E1,20,TQ345805
Wealdstone,Harrow,HARROW,HA3,20,TQ155895
Well Hall,Greenwich,LONDON,SE9,20,TQ425751
Welling,Bexley,WELLING,DA16,20,TQ465755
Wembley,Brent,WEMBLEY,HA0,20,TQ175855
Wembley Park,Brent,WEMBLEY,HA9,20,TQ192863
Wennington,Havering,RAINHAM,RM13,1708,TQ545805
West Brompton,Kensington and Chelsea,LONDON,SW10,20,TQ253779
West Drayton,Hillingdon,WEST DRAYTON,UB7,1895,TQ065795
West Ealing,Ealing,LONDON,W13,20,TQ153802
West Green,Haringey,LONDON,N15,20,TQ324892
West Hackney,Hackney,LONDON,N16,20,TQ340865
West Ham,Newham,LONDON,E13,20,TQ405837
West Hampstead,Camden,LONDON,NW6,20,TQ255855
West Harrow,Harrow,HARROW,HA2,20,TQ145875
West Heath,Bexley,LONDON,SE2,20,TQ475775
West Hendon,Barnet,LONDON,NW9,20,TQ215885
West Kensington,Hammersmith and Fulham,LONDON,W14,20,TQ246783
West Norwood,Lambeth,LONDON,SE27,20,TQ325715
West Wickham,Bromley,LONDON,BR4,20,TQ379660
Westcombe Park,Greenwich,LONDON,SE3,20,TQ402780
Westminster,Westminster,LONDON,SW1,20,TQ295795
Whetstone,Barnet,LONDON,N20,20,TQ265935
White City,Hammersmith and Fulham,LONDON,W12,20,TQ233807
Whitechapel,Tower Hamlets,LONDON,E1,20,TQ335815
Widmore,Bromley,BROMLEY,BR1,20,TQ411691
Widmore Green,Bromley,BROMLEY,BR1,20,TQ411691
Whitton,Richmond upon Thames,TWICKENHAM,TW2,20,TQ145735
Willesden,Brent,LONDON,NW10,20,TQ227846
Wimbledon,Merton,LONDON,SW19,20,TQ239709
Winchmore Hill,Enfield,LONDON,N21,20,TQ315945
Wood Green,Haringey,LONDON,N22,20,TQ305905
Woodford,Redbridge,LONDON,IG8,20,TQ405915
Woodford Green,"Redbridge, Waltham Forest","LONDON, WOODFORD GREEN",IG8,20,TQ405915
Woodlands,Hounslow,ISLEWORTH,TW7,20,TQ155755
Woodside,Croydon,CROYDON,CR0,20,TQ344672
Woodside Park,Barnet,LONDON,N12,20,TQ256925
Woolwich,Greenwich,LONDON,SE18,20,TQ435795
Worcester Park,"Sutton, Kingston upon Thames",WORCESTER PARK,KT4,20,TQ225655
Wormwood Scrubs,Hammersmith and Fulham,LONDON,W12,20,TQ225815
Yeading,Hillingdon,HAYES,UB4,20,TQ115825
Yiewsley,Hillingdon,WEST DRAYTON,UB7,20,TQ063804
